Imbalance settlement period (CET/CEST),+ Imbalance Price [EUR/MWh] - SCA|HR,- Imbalance Price [EUR/MWh] - SCA|HR,Currency,Status,Total Imbalance [MWh] - SCA|HR,Difference,Situation,Status
03.11.2023 00:00 - 03.11.2023 01:00,21.24,21.24,EUR,Final,93,-1,Deficit,Final
03.11.2023 01:00 - 03.11.2023 02:00,16.06,16.06,EUR,Final,90,1,Deficit,Final
03.11.2023 02:00 - 03.11.2023 03:00,14,14,EUR,Final,44,-15,Deficit,Final
03.11.2023 03:00 - 03.11.2023 04:00,8.02,8.02,EUR,Final,197,-34,Deficit,Final
03.11.2023 04:00 - 03.11.2023 05:00,13.02,13.02,EUR,Final,355,-41,Deficit,Final
03.11.2023 05:00 - 03.11.2023 06:00,31.24,31.24,EUR,Final,351,-33,Deficit,Final
03.11.2023 06:00 - 03.11.2023 07:00,101.33,101.33,EUR,Final,327,-17,Deficit,Final
03.11.2023 07:00 - 03.11.2023 08:00,161.51,161.51,EUR,Final,336,-25,Deficit,Final
03.11.2023 08:00 - 03.11.2023 09:00,309.25,309.25,EUR,Final,308,-5,Deficit,Final
03.11.2023 09:00 - 03.11.2023 10:00,282.67,282.67,EUR,Final,300,-34,Deficit,Final
03.11.2023 10:00 - 03.11.2023 11:00,145.78,145.78,EUR,Final,123,13,Deficit,Final
03.11.2023 11:00 - 03.11.2023 12:00,102.71,102.71,EUR,Final,190,-4,Deficit,Final
03.11.2023 12:00 - 03.11.2023 13:00,100.21,100.21,EUR,Final,189,-3,Deficit,Final
03.11.2023 13:00 - 03.11.2023 14:00,100.04,100.04,EUR,Final,147,11,Deficit,Final
03.11.2023 14:00 - 03.11.2023 15:00,109.28,109.28,EUR,Final,55,24,Deficit,Final
03.11.2023 15:00 - 03.11.2023 16:00,65.24,65.24,EUR,Final,86,21,Surplus,Final
03.11.2023 16:00 - 03.11.2023 17:00,68.45,68.45,EUR,Final,20,8,Surplus,Final
03.11.2023 17:00 - 03.11.2023 18:00,177.17,177.17,EUR,Final,70,2,Deficit,Final
03.11.2023 18:00 - 03.11.2023 19:00,72.03,72.03,EUR,Final,4,13,Surplus,Final
03.11.2023 19:00 - 03.11.2023 20:00,56.89,56.89,EUR,Final,141,12,Surplus,Final
03.11.2023 20:00 - 03.11.2023 21:00,47.23,47.23,EUR,Final,178,20,Surplus,Final
03.11.2023 21:00 - 03.11.2023 22:00,76.17,76.17,EUR,Final,25,-2,Deficit,Final
03.11.2023 22:00 - 03.11.2023 23:00,27.32,27.32,EUR,Final,36,9,Surplus,Final
03.11.2023 23:00 - 04.11.2023 00:00,32.45,32.45,EUR,Final,5,-7,Deficit,Final
04.11.2023 00:00 - 04.11.2023 01:00,64.01,64.01,EUR,Final,9,4,Deficit,Final
04.11.2023 01:00 - 04.11.2023 02:00,44.88,44.88,EUR,Final,39,3,Deficit,Final
04.11.2023 02:00 - 04.11.2023 03:00,42,42,EUR,Final,37,2,Deficit,Final
04.11.2023 03:00 - 04.11.2023 04:00,30.81,30.81,EUR,Final,100,-2,Deficit,Final
04.11.2023 04:00 - 04.11.2023 05:00,26.87,26.87,EUR,Final,143,-4,Deficit,Final
04.11.2023 05:00 - 04.11.2023 06:00,21.56,21.56,EUR,Final,96,3,Deficit,Final
04.11.2023 06:00 - 04.11.2023 07:00,22.58,22.58,EUR,Final,162,-16,Deficit,Final
04.11.2023 07:00 - 04.11.2023 08:00,35.11,35.11,EUR,Final,108,-7,Deficit,Final
04.11.2023 08:00 - 04.11.2023 09:00,36.19,36.19,EUR,Final,130,1,Deficit,Final
04.11.2023 09:00 - 04.11.2023 10:00,12,12,EUR,Final,145,-3,Deficit,Final
04.11.2023 10:00 - 04.11.2023 11:00,19.53,19.53,EUR,Final,72,5,Deficit,Final
04.11.2023 11:00 - 04.11.2023 12:00,21.28,21.28,EUR,Final,49,3,Deficit,Final
04.11.2023 12:00 - 04.11.2023 13:00,28,28,EUR,Final,72,1,Deficit,Final
04.11.2023 13:00 - 04.11.2023 14:00,29.6,29.6,EUR,Final,85,3,Deficit,Final
04.11.2023 14:00 - 04.11.2023 15:00,43.11,43.11,EUR,Final,65,10,Deficit,Final
04.11.2023 15:00 - 04.11.2023 16:00,58.88,58.88,EUR,Final,68,-9,Deficit,Final
04.11.2023 16:00 - 04.11.2023 17:00,43.06,43.06,EUR,Final,32,8,Surplus,Final
04.11.2023 17:00 - 04.11.2023 18:00,111.48,111.48,EUR,Final,5,11,Deficit,Final
04.11.2023 18:00 - 04.11.2023 19:00,37,37,EUR,Final,34,13,Surplus,Final
04.11.2023 19:00 - 04.11.2023 20:00,24.11,24.11,EUR,Final,52,11,Surplus,Final
04.11.2023 20:00 - 04.11.2023 21:00,15.9,15.9,EUR,Final,170,39,Surplus,Final
04.11.2023 21:00 - 04.11.2023 22:00,10.63,10.63,EUR,Final,150,52,Surplus,Final
04.11.2023 22:00 - 04.11.2023 23:00,7.04,7.04,EUR,Final,121,38,Surplus,Final
04.11.2023 23:00 - 05.11.2023 00:00,4.23,4.23,EUR,Final,60,25,Surplus,Final
05.11.2023 00:00 - 05.11.2023 01:00,5.23,5.23,EUR,Final,17,19,Surplus,Final
05.11.2023 01:00 - 05.11.2023 02:00,9.23,9.23,EUR,Final,10,17,Deficit,Final
05.11.2023 02:00 - 05.11.2023 03:00,3.11,3.11,EUR,Final,37,22,Surplus,Final
05.11.2023 03:00 - 05.11.2023 04:00,1.79,1.79,EUR,Final,92,24,Surplus,Final
05.11.2023 04:00 - 05.11.2023 05:00,2.54,2.54,EUR,Final,34,12,Surplus,Final
05.11.2023 05:00 - 05.11.2023 06:00,11.19,11.19,EUR,Final,78,5,Deficit,Final
05.11.2023 06:00 - 05.11.2023 07:00,11.45,11.45,EUR,Final,203,-4,Deficit,Final
05.11.2023 07:00 - 05.11.2023 08:00,21.25,21.25,EUR,Final,185,-7,Deficit,Final
05.11.2023 08:00 - 05.11.2023 09:00,27.72,27.72,EUR,Final,147,-4,Deficit,Final
05.11.2023 09:00 - 05.11.2023 10:00,33.18,33.18,EUR,Final,83,0,Deficit,Final
05.11.2023 10:00 - 05.11.2023 11:00,47.8,47.8,EUR,Final,74,-1,Deficit,Final
05.11.2023 11:00 - 05.11.2023 12:00,50.59,50.59,EUR,Final,30,-2,Deficit,Final
05.11.2023 12:00 - 05.11.2023 13:00,20.76,20.76,EUR,Final,5,1,Surplus,Final
05.11.2023 13:00 - 05.11.2023 14:00,33.96,33.96,EUR,Final,56,-1,Deficit,Final
05.11.2023 14:00 - 05.11.2023 15:00,46.58,46.58,EUR,Final,44,-6,Deficit,Final
05.11.2023 15:00 - 05.11.2023 16:00,69.06,69.06,EUR,Final,188,-20,Deficit,Final
05.11.2023 16:00 - 05.11.2023 17:00,90.63,90.63,EUR,Final,173,-9,Deficit,Final
05.11.2023 17:00 - 05.11.2023 18:00,101.74,101.74,EUR,Final,15,6,Deficit,Final
05.11.2023 18:00 - 05.11.2023 19:00,46.18,46.18,EUR,Final,10,0,Surplus,Final
05.11.2023 19:00 - 05.11.2023 20:00,89.61,89.61,EUR,Final,16,-2,Deficit,Final
05.11.2023 20:00 - 05.11.2023 21:00,28.09,28.09,EUR,Final,30,1,Surplus,Final
05.11.2023 21:00 - 05.11.2023 22:00,16.38,16.38,EUR,Final,74,13,Surplus,Final
05.11.2023 22:00 - 05.11.2023 23:00,13.72,13.72,EUR,Final,58,1,Surplus,Final
05.11.2023 23:00 - 06.11.2023 00:00,9.85,9.85,EUR,Final,60,3,Surplus,Final
06.11.2023 00:00 - 06.11.2023 01:00,8.51,8.51,EUR,Final,27,0,Deficit,Final
06.11.2023 01:00 - 06.11.2023 02:00,3.95,3.95,EUR,Final,109,-6,Deficit,Final
06.11.2023 02:00 - 06.11.2023 03:00,1.65,1.65,EUR,Final,72,-3,Deficit,Final
06.11.2023 03:00 - 06.11.2023 04:00,1.23,1.23,EUR,Final,28,2,Deficit,Final
06.11.2023 04:00 - 06.11.2023 05:00,6.02,6.02,EUR,Final,38,2,Deficit,Final
06.11.2023 05:00 - 06.11.2023 06:00,23.7,23.7,EUR,Final,53,-1,Deficit,Final
06.11.2023 06:00 - 06.11.2023 07:00,123.31,123.31,EUR,Final,34,3,Deficit,Final
06.11.2023 07:00 - 06.11.2023 08:00,157.09,157.09,EUR,Final,68,7,Deficit,Final
06.11.2023 08:00 - 06.11.2023 09:00,138.88,138.88,EUR,Final,75,5,Deficit,Final
06.11.2023 09:00 - 06.11.2023 10:00,99.75,99.75,EUR,Final,149,2,Deficit,Final
06.11.2023 10:00 - 06.11.2023 11:00,36.11,36.11,EUR,Final,33,17,Surplus,Final
06.11.2023 11:00 - 06.11.2023 12:00,33.53,33.53,EUR,Final,212,17,Surplus,Final
06.11.2023 12:00 - 06.11.2023 13:00,34.83,34.83,EUR,Final,150,29,Surplus,Final
06.11.2023 13:00 - 06.11.2023 14:00,40.19,40.19,EUR,Final,52,8,Surplus,Final
06.11.2023 14:00 - 06.11.2023 15:00,58.75,58.75,EUR,Final,92,8,Surplus,Final
06.11.2023 15:00 - 06.11.2023 16:00,193.19,193.19,EUR,Final,62,-27,Deficit,Final
06.11.2023 16:00 - 06.11.2023 17:00,222.07,222.07,EUR,Final,181,-58,Deficit,Final
06.11.2023 17:00 - 06.11.2023 18:00,238.71,238.71,EUR,Final,142,-54,Deficit,Final
06.11.2023 18:00 - 06.11.2023 19:00,224.42,224.42,EUR,Final,132,2,Deficit,Final
06.11.2023 19:00 - 06.11.2023 20:00,209.99,209.99,EUR,Final,111,0,Deficit,Final
06.11.2023 20:00 - 06.11.2023 21:00,182.44,182.44,EUR,Final,84,4,Deficit,Final
06.11.2023 21:00 - 06.11.2023 22:00,166.34,166.34,EUR,Final,36,5,Deficit,Final
06.11.2023 22:00 - 06.11.2023 23:00,73.8,73.8,EUR,Final,121,31,Surplus,Final
06.11.2023 23:00 - 07.11.2023 00:00,58.88,58.88,EUR,Final,173,38,Surplus,Final
07.11.2023 00:00 - 07.11.2023 01:00,49.39,49.39,EUR,Final,151,35,Surplus,Final
07.11.2023 01:00 - 07.11.2023 02:00,47.37,47.37,EUR,Final,103,4,Surplus,Final
07.11.2023 02:00 - 07.11.2023 03:00,42.87,42.87,EUR,Final,45,1,Surplus,Final
07.11.2023 03:00 - 07.11.2023 04:00,40.81,40.81,EUR,Final,45,5,Surplus,Final
07.11.2023 04:00 - 07.11.2023 05:00,42.15,42.15,EUR,Final,20,0,Surplus,Final
07.11.2023 05:00 - 07.11.2023 06:00,55.48,55.48,EUR,Final,3,-1,Surplus,Final
07.11.2023 06:00 - 07.11.2023 07:00,191.79,191.79,EUR,Final,28,-5,Deficit,Final
07.11.2023 07:00 - 07.11.2023 08:00,190.08,190.08,EUR,Final,10,3,Deficit,Final
07.11.2023 08:00 - 07.11.2023 09:00,198.45,198.45,EUR,Final,41,1,Deficit,Final
07.11.2023 09:00 - 07.11.2023 10:00,175.28,175.28,EUR,Final,78,-3,Deficit,Final
07.11.2023 10:00 - 07.11.2023 11:00,140.01,140.01,EUR,Final,101,8,Deficit,Final
07.11.2023 11:00 - 07.11.2023 12:00,124.64,124.64,EUR,Final,151,-1,Deficit,Final
07.11.2023 12:00 - 07.11.2023 13:00,120.69,120.69,EUR,Final,98,4,Deficit,Final
07.11.2023 13:00 - 07.11.2023 14:00,124.31,124.31,EUR,Final,8,6,Deficit,Final
07.11.2023 14:00 - 07.11.2023 15:00,85.62,85.62,EUR,Final,142,5,Surplus,Final
07.11.2023 15:00 - 07.11.2023 16:00,92.28,92.28,EUR,Final,76,-3,Surplus,Final
07.11.2023 16:00 - 07.11.2023 17:00,117.88,117.88,EUR,Final,10,-26,Surplus,Final
07.11.2023 17:00 - 07.11.2023 18:00,250.47,250.47,EUR,Final,2,0,Deficit,Final
07.11.2023 18:00 - 07.11.2023 19:00,116.82,116.82,EUR,Final,133,8,Surplus,Final
07.11.2023 19:00 - 07.11.2023 20:00,111.45,111.45,EUR,Final,75,-7,Surplus,Final
07.11.2023 20:00 - 07.11.2023 21:00,78.02,78.02,EUR,Final,28,-6,Surplus,Final
07.11.2023 21:00 - 07.11.2023 22:00,130.17,130.17,EUR,Final,42,-4,Deficit,Final
07.11.2023 22:00 - 07.11.2023 23:00,56.57,56.57,EUR,Final,81,14,Surplus,Final
07.11.2023 23:00 - 08.11.2023 00:00,47.29,47.29,EUR,Final,127,19,Surplus,Final
08.11.2023 00:00 - 08.11.2023 01:00,48.08,48.08,EUR,Final,58,7,Surplus,Final
08.11.2023 01:00 - 08.11.2023 02:00,45.24,45.24,EUR,Final,43,-6,Surplus,Final
08.11.2023 02:00 - 08.11.2023 03:00,45.7,45.7,EUR,Final,31,-1,Surplus,Final
08.11.2023 03:00 - 08.11.2023 04:00,38.86,38.86,EUR,Final,14,-4,Surplus,Final
08.11.2023 04:00 - 08.11.2023 05:00,40.06,40.06,EUR,Final,6,-6,Surplus,Final
08.11.2023 05:00 - 08.11.2023 06:00,105.01,105.01,EUR,Final,5,-1,Deficit,Final
08.11.2023 06:00 - 08.11.2023 07:00,127.16,127.16,EUR,Final,10,-9,Deficit,Final
08.11.2023 07:00 - 08.11.2023 08:00,67.64,67.64,EUR,Final,8,3,Surplus,Final
08.11.2023 08:00 - 08.11.2023 09:00,66.88,66.88,EUR,Final,41,-1,Surplus,Final
08.11.2023 09:00 - 08.11.2023 10:00,60.31,60.31,EUR,Final,66,1,Surplus,Final
08.11.2023 10:00 - 08.11.2023 11:00,52.84,52.84,EUR,Final,32,-2,Surplus,Final
08.11.2023 11:00 - 08.11.2023 12:00,110.39,110.39,EUR,Final,36,-1,Deficit,Final
08.11.2023 12:00 - 08.11.2023 13:00,111.96,111.96,EUR,Final,72,1,Deficit,Final
08.11.2023 13:00 - 08.11.2023 14:00,120.25,120.25,EUR,Final,74,1,Deficit,Final
08.11.2023 14:00 - 08.11.2023 15:00,135.18,135.18,EUR,Final,71,-1,Deficit,Final
08.11.2023 15:00 - 08.11.2023 16:00,149.81,149.81,EUR,Final,21,-2,Deficit,Final
08.11.2023 16:00 - 08.11.2023 17:00,79.63,79.63,EUR,Final,40,1,Surplus,Final
08.11.2023 17:00 - 08.11.2023 18:00,80.2,80.2,EUR,Final,60,2,Surplus,Final
08.11.2023 18:00 - 08.11.2023 19:00,80,80,EUR,Final,49,0,Surplus,Final
08.11.2023 19:00 - 08.11.2023 20:00,176.05,176.05,EUR,Final,45,0,Deficit,Final
08.11.2023 20:00 - 08.11.2023 21:00,165.66,165.66,EUR,Final,32,0,Deficit,Final
08.11.2023 21:00 - 08.11.2023 22:00,133.38,133.38,EUR,Final,46,-5,Deficit,Final
08.11.2023 22:00 - 08.11.2023 23:00,121.06,121.06,EUR,Final,21,-1,Deficit,Final
08.11.2023 23:00 - 09.11.2023 00:00,102.31,102.31,EUR,Final,6,1,Deficit,Final
09.11.2023 00:00 - 09.11.2023 01:00,44.63,44.63,EUR,Final,27,0,Surplus,Final
09.11.2023 01:00 - 09.11.2023 02:00,41.53,41.53,EUR,Final,29,-1,Surplus,Final
09.11.2023 02:00 - 09.11.2023 03:00,42.29,42.29,EUR,Final,39,1,Surplus,Final
09.11.2023 03:00 - 09.11.2023 04:00,44.18,44.18,EUR,Final,10,-3,Surplus,Final
09.11.2023 04:00 - 09.11.2023 05:00,105.8,105.8,EUR,Final,6,-3,Deficit,Final
09.11.2023 05:00 - 09.11.2023 06:00,117.57,117.57,EUR,Final,19,1,Deficit,Final
09.11.2023 06:00 - 09.11.2023 07:00,153.45,153.45,EUR,Final,34,0,Deficit,Final
09.11.2023 07:00 - 09.11.2023 08:00,168.08,168.08,EUR,Final,15,2,Deficit,Final
09.11.2023 08:00 - 09.11.2023 09:00,171.72,171.72,EUR,Final,41,3,Deficit,Final
09.11.2023 09:00 - 09.11.2023 10:00,153.82,153.82,EUR,Final,7,1,Deficit,Final
09.11.2023 10:00 - 09.11.2023 11:00,140.11,140.11,EUR,Final,1,1,Deficit,Final
09.11.2023 11:00 - 09.11.2023 12:00,133,133,EUR,Final,46,1,Deficit,Final
09.11.2023 12:00 - 09.11.2023 13:00,126.22,126.22,EUR,Final,5,7,Deficit,Final
09.11.2023 13:00 - 09.11.2023 14:00,55.39,55.39,EUR,Final,56,7,Surplus,Final
09.11.2023 14:00 - 09.11.2023 15:00,60.37,60.37,EUR,Final,79,15,Surplus,Final
09.11.2023 15:00 - 09.11.2023 16:00,69.81,69.81,EUR,Final,18,9,Surplus,Final
09.11.2023 16:00 - 09.11.2023 17:00,213.78,213.78,EUR,Final,29,-8,Deficit,Final
09.11.2023 17:00 - 09.11.2023 18:00,205.72,205.72,EUR,Final,43,10,Deficit,Final
09.11.2023 18:00 - 09.11.2023 19:00,184.79,184.79,EUR,Final,51,4,Deficit,Final
09.11.2023 19:00 - 09.11.2023 20:00,159.78,159.78,EUR,Final,52,1,Deficit,Final
09.11.2023 20:00 - 09.11.2023 21:00,141.68,141.68,EUR,Final,51,-5,Deficit,Final
09.11.2023 21:00 - 09.11.2023 22:00,121.09,121.09,EUR,Final,79,-8,Deficit,Final
09.11.2023 22:00 - 09.11.2023 23:00,117.66,117.66,EUR,Final,64,2,Deficit,Final
09.11.2023 23:00 - 10.11.2023 00:00,104.1,104.1,EUR,Final,53,-6,Deficit,Final
10.11.2023 00:00 - 10.11.2023 01:00,92.33,92.33,EUR,Final,45,4,Deficit,Final
10.11.2023 01:00 - 10.11.2023 02:00,83.65,83.65,EUR,Final,52,4,Deficit,Final
10.11.2023 02:00 - 10.11.2023 03:00,75.24,75.24,EUR,Final,6,8,Deficit,Final
10.11.2023 03:00 - 10.11.2023 04:00,67.7,67.7,EUR,Final,68,4,Deficit,Final
10.11.2023 04:00 - 10.11.2023 05:00,70,70,EUR,Final,71,10,Deficit,Final
10.11.2023 05:00 - 10.11.2023 06:00,52.24,52.24,EUR,Final,22,15,Surplus,Final
10.11.2023 06:00 - 10.11.2023 07:00,140.22,140.22,EUR,Final,22,-5,Deficit,Final
10.11.2023 07:00 - 10.11.2023 08:00,150.28,150.28,EUR,Final,144,-12,Deficit,Final
10.11.2023 08:00 - 10.11.2023 09:00,150.53,150.53,EUR,Final,193,5,Deficit,Final
10.11.2023 09:00 - 10.11.2023 10:00,144.9,144.9,EUR,Final,171,6,Deficit,Final
10.11.2023 10:00 - 10.11.2023 11:00,59.56,59.56,EUR,Final,10,14,Surplus,Final
10.11.2023 11:00 - 10.11.2023 12:00,59.36,59.36,EUR,Final,6,16,Surplus,Final
10.11.2023 12:00 - 10.11.2023 13:00,141.75,141.75,EUR,Final,64,9,Deficit,Final
10.11.2023 13:00 - 10.11.2023 14:00,154.25,154.25,EUR,Final,89,6,Deficit,Final
10.11.2023 14:00 - 10.11.2023 15:00,70.67,70.67,EUR,Final,20,-3,Surplus,Final
10.11.2023 15:00 - 10.11.2023 16:00,72.29,72.29,EUR,Final,54,0,Surplus,Final
10.11.2023 16:00 - 10.11.2023 17:00,77.79,77.79,EUR,Final,9,1,Surplus,Final
10.11.2023 17:00 - 10.11.2023 18:00,80.96,80.96,EUR,Final,81,5,Surplus,Final
10.11.2023 18:00 - 10.11.2023 19:00,81.06,81.06,EUR,Final,98,8,Surplus,Final
10.11.2023 19:00 - 10.11.2023 20:00,173.01,173.01,EUR,Final,8,2,Deficit,Final
10.11.2023 20:00 - 10.11.2023 21:00,67.76,67.76,EUR,Final,13,0,Surplus,Final
10.11.2023 21:00 - 10.11.2023 22:00,147.14,147.14,EUR,Final,49,0,Deficit,Final
10.11.2023 22:00 - 10.11.2023 23:00,62.38,62.38,EUR,Final,26,1,Surplus,Final
10.11.2023 23:00 - 11.11.2023 00:00,130.48,130.48,EUR,Final,37,-17,Deficit,Final
11.11.2023 00:00 - 11.11.2023 01:00,52.38,52.38,EUR,Final,4,-2,Surplus,Final
11.11.2023 01:00 - 11.11.2023 02:00,51.53,51.53,EUR,Final,24,-6,Surplus,Final
11.11.2023 02:00 - 11.11.2023 03:00,120.23,120.23,EUR,Final,22,-2,Deficit,Final
11.11.2023 03:00 - 11.11.2023 04:00,49.93,49.93,EUR,Final,52,2,Surplus,Final
11.11.2023 04:00 - 11.11.2023 05:00,49.63,49.63,EUR,Final,72,2,Surplus,Final
11.11.2023 05:00 - 11.11.2023 06:00,51.26,51.26,EUR,Final,105,2,Surplus,Final
11.11.2023 06:00 - 11.11.2023 07:00,51.78,51.78,EUR,Final,36,1,Surplus,Final
11.11.2023 07:00 - 11.11.2023 08:00,52.8,52.8,EUR,Final,78,3,Surplus,Final
11.11.2023 08:00 - 11.11.2023 09:00,128.8,128.8,EUR,Final,9,-3,Deficit,Final
11.11.2023 09:00 - 11.11.2023 10:00,132.85,132.85,EUR,Final,73,-4,Deficit,Final
11.11.2023 10:00 - 11.11.2023 11:00,127.79,127.79,EUR,Final,15,1,Deficit,Final
11.11.2023 11:00 - 11.11.2023 12:00,126.31,126.31,EUR,Final,73,3,Deficit,Final
11.11.2023 12:00 - 11.11.2023 13:00,123.12,123.12,EUR,Final,47,0,Deficit,Final
11.11.2023 13:00 - 11.11.2023 14:00,122.92,122.92,EUR,Final,29,3,Deficit,Final
11.11.2023 14:00 - 11.11.2023 15:00,128.1,128.1,EUR,Final,83,-7,Deficit,Final
11.11.2023 15:00 - 11.11.2023 16:00,144.02,144.02,EUR,Final,74,-4,Deficit,Final
11.11.2023 16:00 - 11.11.2023 17:00,163.66,163.66,EUR,Final,4,-4,Deficit,Final
11.11.2023 17:00 - 11.11.2023 18:00,179.17,179.17,EUR,Final,52,3,Deficit,Final
11.11.2023 18:00 - 11.11.2023 19:00,190.06,190.06,EUR,Final,106,-6,Deficit,Final
11.11.2023 19:00 - 11.11.2023 20:00,74.68,74.68,EUR,Final,16,3,Surplus,Final
11.11.2023 20:00 - 11.11.2023 21:00,68.11,68.11,EUR,Final,49,7,Surplus,Final
11.11.2023 21:00 - 11.11.2023 22:00,61.55,61.55,EUR,Final,42,5,Surplus,Final
11.11.2023 22:00 - 11.11.2023 23:00,55.43,55.43,EUR,Final,63,4,Surplus,Final
11.11.2023 23:00 - 12.11.2023 00:00,52.45,52.45,EUR,Final,51,2,Surplus,Final
12.11.2023 00:00 - 12.11.2023 01:00,53.11,53.11,EUR,Final,16,2,Surplus,Final
12.11.2023 01:00 - 12.11.2023 02:00,51.22,51.22,EUR,Final,37,-1,Surplus,Final
12.11.2023 02:00 - 12.11.2023 03:00,50.05,50.05,EUR,Final,39,-2,Surplus,Final
12.11.2023 03:00 - 12.11.2023 04:00,48.88,48.88,EUR,Final,69,-1,Surplus,Final
12.11.2023 04:00 - 12.11.2023 05:00,46.61,46.61,EUR,Final,48,-1,Surplus,Final
12.11.2023 05:00 - 12.11.2023 06:00,50.45,50.45,EUR,Final,13,0,Surplus,Final
12.11.2023 06:00 - 12.11.2023 07:00,50.56,50.56,EUR,Final,11,0,Surplus,Final
12.11.2023 07:00 - 12.11.2023 08:00,50.7,50.7,EUR,Final,15,-4,Surplus,Final
12.11.2023 08:00 - 12.11.2023 09:00,51.98,51.98,EUR,Final,74,4,Surplus,Final
12.11.2023 09:00 - 12.11.2023 10:00,53.85,53.85,EUR,Final,13,1,Surplus,Final
12.11.2023 10:00 - 12.11.2023 11:00,123.91,123.91,EUR,Final,89,3,Deficit,Final
12.11.2023 11:00 - 12.11.2023 12:00,120.54,120.54,EUR,Final,92,6,Deficit,Final
12.11.2023 12:00 - 12.11.2023 13:00,115.85,115.85,EUR,Final,168,6,Deficit,Final
12.11.2023 13:00 - 12.11.2023 14:00,114.83,114.83,EUR,Final,162,2,Deficit,Final
12.11.2023 14:00 - 12.11.2023 15:00,126.73,126.73,EUR,Final,65,-1,Deficit,Final
12.11.2023 15:00 - 12.11.2023 16:00,150.14,150.14,EUR,Final,23,-3,Deficit,Final
12.11.2023 16:00 - 12.11.2023 17:00,80.1,80.1,EUR,Final,90,15,Surplus,Final
12.11.2023 17:00 - 12.11.2023 18:00,77.36,77.36,EUR,Final,93,4,Surplus,Final
12.11.2023 18:00 - 12.11.2023 19:00,77.51,77.51,EUR,Final,57,1,Surplus,Final
12.11.2023 19:00 - 12.11.2023 20:00,72.94,72.94,EUR,Final,20,1,Surplus,Final
12.11.2023 20:00 - 12.11.2023 21:00,156.98,156.98,EUR,Final,13,2,Deficit,Final
12.11.2023 21:00 - 12.11.2023 22:00,150.26,150.26,EUR,Final,86,-10,Deficit,Final
12.11.2023 22:00 - 12.11.2023 23:00,140.2,140.2,EUR,Final,1,3,Deficit,Final
12.11.2023 23:00 - 13.11.2023 00:00,52.81,52.81,EUR,Final,15,-1,Surplus,Final
13.11.2023 00:00 - 13.11.2023 01:00,54.76,54.76,EUR,Final,23,10,Surplus,Final
13.11.2023 01:00 - 13.11.2023 02:00,52.09,52.09,EUR,Final,20,7,Surplus,Final
13.11.2023 02:00 - 13.11.2023 03:00,52.2,52.2,EUR,Final,28,5,Surplus,Final
13.11.2023 03:00 - 13.11.2023 04:00,51.84,51.84,EUR,Final,34,7,Surplus,Final
13.11.2023 04:00 - 13.11.2023 05:00,51.36,51.36,EUR,Final,34,5,Surplus,Final
13.11.2023 05:00 - 13.11.2023 06:00,54.41,54.41,EUR,Final,23,4,Surplus,Final
13.11.2023 06:00 - 13.11.2023 07:00,165.17,165.17,EUR,Final,23,0,Deficit,Final
13.11.2023 07:00 - 13.11.2023 08:00,188.8,188.8,EUR,Final,23,11,Deficit,Final
13.11.2023 08:00 - 13.11.2023 09:00,87.31,87.31,EUR,Final,7,12,Surplus,Final
13.11.2023 09:00 - 13.11.2023 10:00,76.68,76.68,EUR,Final,13,7,Surplus,Final
13.11.2023 10:00 - 13.11.2023 11:00,71.74,71.74,EUR,Final,32,5,Surplus,Final
13.11.2023 11:00 - 13.11.2023 12:00,165.73,165.73,EUR,Final,38,11,Deficit,Final
13.11.2023 12:00 - 13.11.2023 13:00,161.52,161.52,EUR,Final,125,7,Deficit,Final
13.11.2023 13:00 - 13.11.2023 14:00,160.87,160.87,EUR,Final,13,11,Deficit,Final
13.11.2023 14:00 - 13.11.2023 15:00,72.95,72.95,EUR,Final,117,11,Surplus,Final
13.11.2023 15:00 - 13.11.2023 16:00,78.58,78.58,EUR,Final,126,10,Surplus,Final
13.11.2023 16:00 - 13.11.2023 17:00,205.9,205.9,EUR,Final,54,-26,Deficit,Final
13.11.2023 17:00 - 13.11.2023 18:00,241.81,241.81,EUR,Final,56,12,Deficit,Final
13.11.2023 18:00 - 13.11.2023 19:00,243.51,243.51,EUR,Final,119,-25,Deficit,Final
13.11.2023 19:00 - 13.11.2023 20:00,223.62,223.62,EUR,Final,121,4,Deficit,Final
13.11.2023 20:00 - 13.11.2023 21:00,69.39,69.39,EUR,Final,18,1,Surplus,Final
13.11.2023 21:00 - 13.11.2023 22:00,61.65,61.65,EUR,Final,22,9,Surplus,Final
13.11.2023 22:00 - 13.11.2023 23:00,50.57,50.57,EUR,Final,23,4,Surplus,Final
13.11.2023 23:00 - 14.11.2023 00:00,42.32,42.32,EUR,Final,21,-12,Deficit,Final
14.11.2023 00:00 - 14.11.2023 01:00,26.87,26.87,EUR,Final,32,4,Surplus,Final
14.11.2023 01:00 - 14.11.2023 02:00,18.1,18.1,EUR,Final,36,8,Surplus,Final
14.11.2023 02:00 - 14.11.2023 03:00,33.61,33.61,EUR,Final,42,-2,Deficit,Final
14.11.2023 03:00 - 14.11.2023 04:00,26.08,26.08,EUR,Final,38,-1,Deficit,Final
14.11.2023 04:00 - 14.11.2023 05:00,26.05,26.05,EUR,Final,41,4,Deficit,Final
14.11.2023 05:00 - 14.11.2023 06:00,69.34,69.34,EUR,Final,56,-4,Deficit,Final
14.11.2023 06:00 - 14.11.2023 07:00,65.68,65.68,EUR,Final,0,2,Balanced,Final
